 [Ohm];;;0°;I [mA];U [mV];P;;V_oc [V];I_sc [mA]
10;;;10;8,2;78;639,6;;5,21;8,3
15;;;15;8,5;100;850;;;
55;;;56;8;450;3600;;;
270;;;270;8,2;2224;18236,8;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;10°;I;U;P;;;
;;;10;7,2;77;554,4;;;
;;;15;8,7;98;852,6;;;
;;;56;9,1;490;4459;;;
;;;270;8,6;2240;19264;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;20°;I;U;P;;;
;;;10;7;73;511;;;
;;;15;8,2;96;787,2;;;
;;;56;9,4;515;4841;;;
;;;270;8,8;2270;19976;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;30°;I;U;P;;;
;;;10;7,3;73;532,9;;;
;;;15;8,1;116;939,6;;;
;;;56;9;460;4140;;;
;;;270;8,4;2250;18900;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;40°;I;U;P;;;
;;;10;6,9;67;462,3;;;
;;;15;8,2;96;787,2;;;
;;;56;8,3;435;3610,5;;;
;;;270;7,9;2180;17222;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;50°;I;U;P;;;
;;;10;5,7;57;324,9;;;
;;;15;7,5;89;667,5;;;
;;;56;7,8;390;3042;;;
;;;270;6,9;1956;13496,4;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;60°;I;U;P;;;
;;;10;4,8;47;225,6;;;
;;;15;6;74;444;;;
;;;56;6,56;322;2112,32;;;
;;;270;6,5;1630;10595;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;70°;I;U;P;;;
;;;10;3,9;40;156;;;
;;;15;4,7;67;314,9;;;
;;;56;5,5;278;1529;;;
;;;270;5,4;1440;7776;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;80°;I;U;P;;;
;;;10;2,9;37;107,3;;;
;;;15;3,8;57;216,6;;;
;;;56;4,9;213;1043,7;;;
;;;270;4,6;1250;5750;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;90°;I;U;P;;;
;;;10;2,8;18;50,4;;;
;;;15;3,6;48;172,8;;;
;;;56;4,3;190;817;;;
;;;270;3,4;1035;3519;;;
